nachname,partei,start_year,group,vorname,total_amount
Ackermann,FDP,Nein,fdp,Jens,1
Ahrendt,FDP,Nein,fdp,Christian,1
Aigner,CDU/CSU,Nein,cdu,Ilse,1
Aken,DIE LINKE,Nein,linke,Jan van,1
Alpers,DIE LINKE,Nein,linke,Agnes,1
Altmaier,CDU/CSU,Nein,cdu,Peter,1
Andreae,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Kerstin,1
Arndt-Brauer,SPD,Nein,spd,Ingrid,1
Arnold,SPD,Nein,spd,Rainer,1
Aschenberg-Dugnus,FDP,Nein,fdp,Christine,1
Aumer,CDU/CSU,Nein,cdu,Peter,1
Bahr (Münster),FDP,Nein,fdp,Daniel,1
Bär,CDU/CSU,Nein,cdu,Dorothee,1
Barchmann,SPD,Nein,spd,Heinz-Joachim,1
Bareiß,CDU/CSU,Nein,cdu,Thomas,1
Barnett,SPD,Nein,spd,Doris,1
Bartels,SPD,Ja,spd,Dr. Hans-Peter,1
Barthel,SPD,Nein,spd,Klaus,1
Barthle,CDU/CSU,Nein,cdu,Norbert,1
Bartol,SPD,Nein,spd,Sören,1
Bartsch,DIE LINKE,Ja,linke,Dr. Dietmar,1
Bas,SPD,Nein,spd,Bärbel,1
Bätzing-Lichtenthäler,SPD,Nein,spd,Sabine,1
Baumann,CDU/CSU,Nein,cdu,Günter,1
Beck (Reutlingen),CDU/CSU,Nein,cdu,Ernst-Reinhard,1
Beck (Bremen),BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Marieluise,1
Beck (Köln),BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Volker,1
Becker,SPD,Nein,spd,Dirk,1
Beckmeyer,SPD,Nein,spd,Uwe,1
Behm,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Cornelia,1
Behrens,DIE LINKE,Nein,linke,Herbert,1
Behrens,CDU/CSU,Nein,cdu,Manfred,1
Bellmann,CDU/CSU,Nein,cdu,Veronika,1
Bender,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Birgitt,1
Bergner,CDU/CSU,Ja,cdu,Dr. Christoph,1
Bernschneider,FDP,Nein,fdp,Florian,1
Beyer,CDU/CSU,Nein,cdu,Peter,1
Bilger,CDU/CSU,Nein,cdu,Steffen,1
Binder,DIE LINKE,Nein,linke,Karin,1
Binding (Heidelberg),SPD,Nein,spd,Lothar,1
Binninger,CDU/CSU,Nein,cdu,Clemens,1
Birkwald,DIE LINKE,Nein,linke,Matthias W.,1
Bleser,CDU/CSU,Nein,cdu,Peter,1
Bluhm,DIE LINKE,Nein,linke,Heidrun,1
Blumenthal,FDP,Nein,fdp,Sebastian,1
Bockhahn,DIE LINKE,Nein,linke,Steffen,1
Bögel,FDP,Nein,fdp,Claudia,1
Böhmer,CDU/CSU,Ja,cdu,Dr. Maria,1
Bollmann,SPD,Nein,spd,Gerd,1
Börnsen (Bönstrup),CDU/CSU,Nein,cdu,Wolfgang,1
Bosbach,CDU/CSU,Nein,cdu,Wolfgang,1
Bracht-Bendt,FDP,Nein,fdp,Nicole,1
Brackmann,CDU/CSU,Nein,cdu,Norbert,1
Brähmig,CDU/CSU,Nein,cdu,Klaus,1
Brand,CDU/CSU,Nein,cdu,Michael,1
Brandl,CDU/CSU,Ja,cdu,Dr. Reinhard,1
Brandner,SPD,Nein,spd,Klaus,1
Brandt,CDU/CSU,Nein,cdu,Helmut,1
Brase,SPD,Nein,spd,Willi,1
Brauksiepe,CDU/CSU,Ja,cdu,Dr. Ralf,1
Braun,CDU/CSU,Ja,cdu,Dr. Helge,1
Brehmer,CDU/CSU,Nein,cdu,Heike,1
Breil,FDP,Nein,fdp,Klaus,1
Brinkhaus,CDU/CSU,Nein,cdu,Ralph,1
Brinkmann (Hildesheim),SPD,Nein,spd,Bernhard,1
Brüderle,FDP,Nein,fdp,Rainer,1
Brugger,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Agnes,1
Brunkhorst,FDP,Nein,fdp,Angelika,1
Buchholz,DIE LINKE,Nein,linke,Christine,1
Bulling-Schröter,DIE LINKE,Nein,linke,Eva,1
Bulmahn,SPD,Nein,spd,Edelgard,1
Bülow,SPD,Nein,spd,Marco,1
Bunge,DIE LINKE,Ja,linke,Dr. Martina,1
Burchardt,SPD,Nein,spd,Ulla,1
Burgbacher,FDP,Nein,fdp,Ernst,1
Burkert,SPD,Nein,spd,Martin,1
Buschmann,FDP,Nein,fdp,Marco,1
Caesar,CDU/CSU,Nein,cdu,Cajus,1
Canel,FDP,Nein,fdp,Sylvia,1
Claus,DIE LINKE,Nein,linke,Roland,1
Connemann,CDU/CSU,Nein,cdu,Gitta,1
Cramon-Taubadel,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Viola von,1
Crone,SPD,Nein,spd,Petra,1
Danckert,SPD,Ja,spd,Prof. Dr. Peter,1
Daub,FDP,Nein,fdp,Helga,1
Dağdelen,DIE LINKE,Nein,linke,Sevim,1
Dehm,DIE LINKE,Ja,linke,Dr. Diether,1
Deligöz,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Ekin,1
Deutschmann,FDP,Nein,fdp,Reiner,1
Dittrich,DIE LINKE,Nein,linke,Heidrun,1
Djir-Sarai,FDP,Nein,fdp,Bijan,1
Dobrindt,CDU/CSU,Nein,cdu,Alexander,1
Dörflinger,CDU/CSU,Nein,cdu,Thomas,1
Döring,FDP,Nein,fdp,Patrick,1
Dörmann,SPD,Nein,spd,Martin,1
Dörner,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Katja,1
Dött,CDU/CSU,Nein,cdu,Marie-Luise,1
Dreibus,DIE LINKE,Nein,linke,Werner,1
Drobinski-Weiß,SPD,Nein,spd,Elvira,1
Dyckmans,FDP,Nein,fdp,Mechthild,1
Ebner,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Harald,1
Edathy,SPD,Nein,spd,Sebastian,1
Egloff,SPD,Nein,spd,Ingo,1
Ehrenberg,FDP,Nein,fdp,Hans-Werner,1
Ehrmann,SPD,Nein,spd,Siegmund,1
Enkelmann,DIE LINKE,Ja,linke,Dr. Dagmar,1
Erdel,FDP,Nein,fdp,Rainer,1
Erler,SPD,Ja,spd,Dr. h.c. Gernot,1
Ernst,DIE LINKE,Nein,linke,Klaus,1
Ernstberger,SPD,Nein,spd,Petra,1
Essen,FDP,Nein,fdp,Jörg van,1
Evers-Meyer,SPD,Nein,spd,Karin,1
Feist,CDU/CSU,Ja,cdu,Dr. Thomas,1
Fell,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Hans-Josef,1
Ferlemann,CDU/CSU,Nein,cdu,Enak,1
Ferner,SPD,Nein,spd,Elke,1
Fischbach,CDU/CSU,Nein,cdu,Ingrid,1
Fischer (Karlsruhe-Land),CDU/CSU,Nein,cdu,Axel E.,1
Fischer (Hamburg),CDU/CSU,Nein,cdu,Dirk,1
Fischer (Göttingen),CDU/CSU,Nein,cdu,Hartwig,1
Flach,FDP,Nein,fdp,Ulrike,1
Flachsbarth,CDU/CSU,Ja,cdu,Dr. Maria,1
Flosbach,CDU/CSU,Nein,cdu,Klaus-Peter,1
Fograscher,SPD,Nein,spd,Gabriele,1
Franke,SPD,Ja,spd,Dr. Edgar,1
Frankenhauser,CDU/CSU,Nein,cdu,Herbert,1
Freitag,SPD,Nein,spd,Dagmar,1
Fricke,FDP,Nein,fdp,Otto,1
Friedrich (Hof),CDU/CSU,Ja,cdu,Dr. Hans-Peter,1
Frieser,CDU/CSU,Nein,cdu,Michael,1
Fritz,CDU/CSU,Nein,cdu,Erich G.,1
Fuchs,CDU/CSU,Ja,cdu,Dr. Michael,1
Fuchtel,CDU/CSU,Nein,cdu,Hans-Joachim,1
Funk,CDU/CSU,Nein,cdu,Alexander,1
Gabriel,SPD,Nein,spd,Sigmar,1
Gädechens,CDU/CSU,Nein,cdu,Ingo,1
Gambke,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Thomas,1
Gauweiler,CDU/CSU,Ja,cdu,Dr. Peter,1
Gebhart,CDU/CSU,Ja,cdu,Dr. Thomas,1
Gehrcke,DIE LINKE,Nein,linke,Wolfgang,1
Gehring,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Kai,1
Geis,CDU/CSU,Nein,cdu,Norbert,1
Geisen,FDP,Ja,fdp,Dr. Edmund Peter,1
Gerdes,SPD,Nein,spd,Michael,1
Gerhardt,FDP,Ja,fdp,Dr. Wolfgang,1
Gerig,CDU/CSU,Nein,cdu,Alois,1
Gerster,SPD,Nein,spd,Martin,1
Gienger,CDU/CSU,Nein,cdu,Eberhard,1
Gleicke,SPD,Nein,spd,Iris,1
Glos,CDU/CSU,Nein,cdu,Michael,1
Gloser,SPD,Nein,spd,Günter,1
Gohlke,DIE LINKE,Nein,linke,Nicole,1
Goldmann,FDP,Nein,fdp,Hans-Michael,1
Golombeck,FDP,Nein,fdp,Heinz,1
Golze,DIE LINKE,Nein,linke,Diana,1
Göppel,CDU/CSU,Nein,cdu,Josef,1
Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Katrin,1
Gottschalck,SPD,Nein,spd,Ulrike,1
Götz,CDU/CSU,Nein,cdu,Peter,1
Götzer,CDU/CSU,Ja,cdu,Dr. Wolfgang,1
Graf (Rosenheim),SPD,Nein,spd,Angelika,1
Granold,CDU/CSU,Nein,cdu,Ute,1
Griese,SPD,Nein,spd,Kerstin,1
Grindel,CDU/CSU,Nein,cdu,Reinhard,1
Gröhe,CDU/CSU,Nein,cdu,Hermann,1
Groneberg,SPD,Nein,spd,Gabriele,1
Groß,SPD,Nein,spd,Michael Peter,1
Grosse-Brömer,CDU/CSU,Nein,cdu,Michael,1
Groth,DIE LINKE,Nein,linke,Annette,1
Grübel,CDU/CSU,Nein,cdu,Markus,1
Grund,CDU/CSU,Nein,cdu,Manfred,1
Gruß,FDP,Nein,fdp,Miriam,1
Grütters,CDU/CSU,Nein,cdu,Monika,1
Gunkel,SPD,Nein,spd,Wolfgang,1
Günther (Plauen),FDP,Nein,fdp,Joachim,1
Gutting,CDU/CSU,Nein,cdu,Olav,1
Gysi,DIE LINKE,Ja,linke,Dr. Gregor,1
Hacker,SPD,Nein,spd,Hans-Joachim,1
Hagedorn,SPD,Nein,spd,Bettina,1
Hagemann,SPD,Nein,spd,Klaus,1
Hahn,CDU/CSU,Nein,cdu,Florian,1
Hänsel,DIE LINKE,Nein,linke,Heike,1
Happach-Kasan,FDP,Ja,fdp,Dr. Christel,1
Harbarth,CDU/CSU,Ja,cdu,Dr. Stephan,1
Hardt,CDU/CSU,Nein,cdu,Jürgen,1
Hartmann (Wackernheim),SPD,Nein,spd,Michael,1
Hasselfeldt,CDU/CSU,Nein,cdu,Gerda,1
Haßelmann,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Britta,1
Haustein,FDP,Nein,fdp,Heinz-Peter,1
Heider,CDU/CSU,Ja,cdu,Dr. Matthias,1
Heiderich,CDU/CSU,Nein,cdu,Helmut,1
Heil (Peine),SPD,Nein,spd,Hubertus,1
Heil,CDU/CSU,Nein,cdu,Mechthild,1
Hein,DIE LINKE,Ja,linke,Dr. Rosemarie,1
Heinen-Esser,CDU/CSU,Nein,cdu,Ursula,1
Heinrich,CDU/CSU,Nein,cdu,Frank,1
Hellmich,SPD,Nein,spd,Wolfgang,1
Hempelmann,SPD,Nein,spd,Rolf,1
Hendricks,SPD,Ja,spd,Dr. Barbara,1
Henke,CDU/CSU,Nein,cdu,Rudolf,1
Hennrich,CDU/CSU,Nein,cdu,Michael,1
Herlitzius,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Bettina,1
Herrmann,CDU/CSU,Nein,cdu,Jürgen,1
Herzog,SPD,Nein,spd,Gustav,1
Heveling,CDU/CSU,Nein,cdu,Ansgar,1
Hiller-Ohm,SPD,Nein,spd,Gabriele,1
Hinsken,CDU/CSU,Nein,cdu,Ernst,1
Hintze,CDU/CSU,Nein,cdu,Peter,1
Hinz (Essen),SPD,Nein,spd,Petra,1
Hinz (Herborn),BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Priska,1
Hirte,CDU/CSU,Nein,cdu,Christian,1
Hochbaum,CDU/CSU,Nein,cdu,Robert,1
Höferlin,FDP,Nein,fdp,Manuel,1
Hoff,FDP,Nein,fdp,Elke,1
Hofmann (Volkach),SPD,Nein,spd,Frank,1
Hofreiter,BÜNDNIS 90/DIE GRÜNEN,Ja,gruene,Dr. Anton,1
Höger,DIE LINKE,Nein,linke,Inge,1
Högl,SPD,Ja,spd,Dr. Eva,1
Höhn,BÜNDNIS 90/DIE GRÜNEN,Nein,gruene,Bärbel,1
Höll,DIE LINKE,Ja,linke,Dr. Barbara,1
Holmeier,CDU/CSU,Nein,cdu,Karl,1
