nachname,partei,start_year,group,vorname,total_amount
Aken,Die Linke,Nein,linke,Neinn van,1
Albani,CDU,Nein,cdu,Stephan,1
Albsteiger,CDU,Nein,cdu,Katrin,1
Alpers,Die Linke,Nein,linke,Agnes,1
Altmaier,CDU,Nein,cdu,Peter,1
Amtsberg,Bündnis 90/Die Grünen,Nein,gruene,Luise,1
Andreae,Bündnis 90/Die Grünen,Nein,gruene,Kerstin,1
Annen,SPD,Nein,spd,Niels,1
Arndt-Brauer,SPD,Nein,spd,Ingrid,1
Arnold,SPD,Nein,spd,Rainer,1
Auernhammer,CDU,Nein,cdu,Artur,1
Baehrens,SPD,Nein,spd,Heike,1
Baerbock,Bündnis 90/Die Grünen,Nein,gruene,Annalena Charlotte Alma,1
Bahr,SPD,Nein,spd,Ulrike Renate Martina,1
Bär,CDU,Nein,cdu,Dorothee,1
Barchmann,SPD,Nein,spd,Heinz-Joachim,1
Bareiß,CDU,Nein,cdu,Thomas,1
Barley,SPD,Ja,spd,Dr. Katarina,1
Barnett,SPD,Nein,spd,Doris,1
Bartels,SPD,Ja,spd,Dr. Hans-Peter,1
Barthel,SPD,Nein,spd,Klaus,1
Barthle,CDU,Nein,cdu,Norbert,1
Bartke,SPD,Ja,spd,Dr. Matthias,1
Bartol,SPD,Nein,spd,Sören,1
Bartsch,Die Linke,Ja,linke,Dr. Dietmar,1
Bartz,CDU,Nein,cdu,Julia,1
Bas,SPD,Nein,spd,Bärbel,1
Bätzing-Lichtenthäler,SPD,Nein,spd,Sabine,1
Baumann,CDU,Nein,cdu,Günter,1
Beck,Bündnis 90/Die Grünen,Nein,gruene,Marieluise,1
Beck,Bündnis 90/Die Grünen,Nein,gruene,Volker,1
Becker,SPD,Nein,spd,Dirk,1
Beckmeyer,SPD,Nein,spd,Uwe Karl,1
Beermann,CDU,Nein,cdu,Maik,1
Behrens,Die Linke,Nein,linke,Herbert,1
Behrens,CDU,Nein,cdu,Manfred,1
Bellmann,CDU,Nein,cdu,Veronika Maria,1
Benning,CDU,Nein,cdu,Sybille,1
Berghegger,CDU,Ja,cdu,Dr. André,1
Bergner,CDU,Ja,cdu,Dr. Christoph Georg,1
Bertram,CDU,Nein,cdu,Ute,1
Beyer,CDU,Nein,cdu,Peter,1
Bilger,CDU,Nein,cdu,Steffen,1
Binder,Die Linke,Nein,linke,Karin,1
Binding,SPD,Nein,spd,Lothar,1
Binninger,CDU,Nein,cdu,Clemens,1
Birkwald,Die Linke,Nein,linke,Matthias W.,1
Bleser,CDU,Nein,cdu,Peter,1
Blienert,SPD,Nein,spd,Burkhard,1
Bluhm,Die Linke,Nein,linke,Heidrun,1
Böhmer,CDU,Ja,cdu,Prof. Dr. Maria,1
Bosbach,CDU,Nein,cdu,Wolfgang,1
Brackmann,CDU,Nein,cdu,Norbert,1
Brähmig,CDU,Nein,cdu,Klaus,1
Brand,CDU,Nein,cdu,Michael,1
Brandl,CDU,Ja,cdu,Dr. Reinhard,1
Brandt,CDU,Nein,cdu,Helmut,1
Brantner,Bündnis 90/Die Grünen,Ja,gruene,Dr. Franziska,1
Brase,SPD,Nein,spd,Willi,1
Brauksiepe,CDU,Ja,cdu,Dr. Ralf,1
Braun,CDU,Ja,cdu,Dr. Helge Reinhold,1
Brehmer,CDU,Nein,cdu,Heike,1
Brinkhaus,CDU,Nein,cdu,Ralph,1
Brugger,Bündnis 90/Die Grünen,Nein,gruene,Agnes,1
Brunner,SPD,Ja,spd,Dr. Karl-Heinz,1
Buchholz,Die Linke,Nein,linke,Christine,1
Bulling-Schröter,Die Linke,Nein,linke,Eva,1
Bulmahn,SPD,Nein,spd,Edelgard,1
Bülow,SPD,Nein,spd,Marco,1
Burkert,SPD,Nein,spd,Martin,1
Caesar,CDU,Nein,cdu,Cajus Julius,1
Castellucci,SPD,Ja,spd,Prof. Dr. Lars,1
Claus,Die Linke,Nein,linke,Roland,1
Connemann,CDU,Nein,cdu,Gitta,1
Crone,SPD,Nein,spd,Petra,1
Daldrup,SPD,Nein,spd,Bernhard,1
Dağdelen,Die Linke,Nein,linke,Sevim,1
Dehm-Desoi,Die Linke,Ja,linke,Dr. Diether,1
Deligöz,Bündnis 90/Die Grünen,Nein,gruene,Ekin,1
De Ridder,SPD,Ja,spd,Dr. rer. pol. Daniela,1
de Vries,CDU,Nein,cdu,Kees Cornelis,1
Diaby,SPD,Ja,spd,Dr. rer. nat. Karamba,1
Dinges-Dierig,CDU,Nein,cdu,Alexandra,1
Dittmar,SPD,Nein,spd,Sabine,1
Dobrindt,CDU,Nein,cdu,Alexander,1
Donth,CDU,Nein,cdu,Michael,1
Dörflinger,CDU,Nein,cdu,Thomas,1
Dörmann,SPD,Nein,spd,Martin,1
Dörner,Bündnis 90/Die Grünen,Nein,gruene,KatNein,1
Dött,CDU,Nein,cdu,Marie-Luise,1
Drobinski-Weiß,SPD,Nein,spd,Elvira,1
Dröge,Bündnis 90/Die Grünen,Nein,gruene,Katharina,1
Durz,CDU,Nein,cdu,Hansjörg,1
Ebner,Bündnis 90/Die Grünen,Nein,gruene,Harald,1
Eckenbach,CDU,Nein,cdu,Jutta,1
Edathy,SPD,Nein,spd,Sebastian,1
Ehrmann,SPD,Nein,spd,Siegmund,1
Engelmeier-Heite,SPD,Nein,spd,Michaela Barbara,1
Erler,SPD,Ja,spd,Dr. h.c. Gernot,1
Ernst,Die Linke,Nein,linke,Klaus,1
Ernstberger,SPD,Nein,spd,Petra,1
Esken,SPD,Nein,spd,Saskia,1
Evers-Meyer,SPD,Nein,spd,Karin,1
Fabritius,CDU,Ja,cdu,Dr. Bernd,1
Färber,CDU,Nein,cdu,Hermann,1
Fechner,SPD,Ja,spd,Dr. Johannes,1
Feiler,CDU,Nein,cdu,Uwe Wolfgang Werner,1
Feist,CDU,Ja,cdu,Dr. Thomas Wolfgang,1
Felgentreu,SPD,Ja,spd,Dr. Fritz,1
Ferlemann,CDU,Nein,cdu,Enak,1
Ferner,SPD,Nein,spd,Elke,1
Finckh-Krämer,SPD,Ja,spd,Dr. rer. nat. Ute,1
Fischbach,CDU,Nein,cdu,Ingrid Marianne,1
Fischer,CDU,Nein,cdu,Axel E.,1
Fischer,CDU,Nein,cdu,Dirk Erik,1
Flachsbarth,CDU,Ja,cdu,Dr. Maria,1
Flisek,SPD,Nein,spd,Christian,1
Flosbach,CDU,Nein,cdu,Klaus-Peter,1
Fograscher,SPD,Nein,spd,Gabriele,1
Franke,SPD,Ja,spd,Dr. Edgar Konrad Helmut,1
Freese,SPD,Nein,spd,Ulrich Roland,1
Frei,CDU,Nein,cdu,Thorsten,1
Freitag,SPD,Nein,spd,Dagmar,1
Freudenstein,CDU,Ja,cdu,Dr. Astrid,1
Friedrich,CDU,Ja,cdu,Dr. Hans-Peter,1
Frieser,CDU,Nein,cdu,Michael Edwin,1
Fuchs,CDU,Ja,cdu,Dr. Michael,1
Fuchtel,CDU,Nein,cdu,Hans-Joachim,1
Funk,CDU,Nein,cdu,Alexander,1
Gabriel,SPD,Nein,spd,Sigmar,1
Gädechens,CDU,Nein,cdu,Ingo,1
