grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year,titlex
Warplane shelling,Damascus Suburbs, 2012,1,warplane,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shooting,Daraa, 2012,1,shooting,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Warplane shelling,Damascus Suburbs, 2012,1,warplane,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shooting,Daraa, 2012,1,shooting,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shooting,Daraa, 2012,1,shooting,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Raqqa, 2012,1,shelling,,,,no,,
Shelling,Raqqa, 2012,1,shelling,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Warplane shelling,Damascus Suburbs, 2012,1,warplane,,,,no,,
Shooting,Aleppo, 2012,1,shooting,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shooting,Damascus Suburbs, 2012,1,shooting,,,,no,,
Shooting,Damascus Suburbs, 2012,1,shooting,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shelling,Hama, 2012,1,shelling,,,,no,,
Shelling,Hama, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Detention - Torture,Damascus, 2012,1,det_tor,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shooting,Homs, 2012,1,shooting,,,,no,,
Warplane shelling,Aleppo, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Field Execution,Damascus Suburbs, 2012,1,field_exe,,,,no,,
Shooting,Damascus Suburbs, 2012,1,shooting,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Warplane shelling,Damascus Suburbs, 2012,1,warplane,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shooting,Idlib, 2012,1,shooting,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Shooting,Lattakia, 2012,1,shooting,,,,no,,
Shooting,Lattakia, 2012,1,shooting,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Idlib, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Shelling,Deir Ezzor, 2012,1,shelling,,,,no,,
Shelling,Daraa, 2012,1,shelling,,,,no,,
Warplane shelling,Aleppo, 2012,1,warplane,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Aleppo, 2012,1,warplane,,,,no,,
Shooting,Daraa, 2012,1,shooting,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Warplane shelling,Aleppo, 2012,1,warplane,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Warplane shelling,Deir Ezzor, 2012,1,warplane,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Damascus, 2012,1,shelling,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Shelling,Damascus, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Warplane shelling,Damascus Suburbs, 2012,1,warplane,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Field Execution,Hama, 2012,1,field_exe,,,,no,,
Warplane shelling,Homs, 2012,1,warplane,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shooting,Lattakia, 2012,1,shooting,,,,no,,
Other,Daraa, 2012,1,na,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Shooting,Damascus, 2012,1,shooting,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Shelling,Idlib, 2012,1,shelling,,,,no,,
Field Execution,Damascus Suburbs, 2012,1,field_exe,,,,no,,
Warplane shelling,Homs, 2012,1,warplane,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
Shelling,Homs, 2012,1,shelling,,,,no,,
Shelling,Damascus Suburbs, 2012,1,shelling,,,,no,,
Shelling,Daraa, 2012,1,shelling,,,,no,,
Shelling,Aleppo, 2012,1,shelling,,,,no,,
